岗位,薪水,公司名称,详细信息,公司链接,公司要求,发布时间
高级Java开发工程师,20k-40k,新浪网,互联网已上市1000-9999人,https://www.zhipin.com/job_detail/f950f11ca07923cf1XZ92Nq6FVM~.html,北京 海淀区 马连洼3-5年本科,发布于07月06日
Java,20k-40k,去哪儿,互联网不需要融资1000-9999人,https://www.zhipin.com/job_detail/ed526c0a3180d86f1XV92N2_FFo~.html,北京 海淀区 苏州街3-5年本科,发布于06月14日
Java开发高级工程师,20k-40k,一点资讯,移动互联网D轮及以上500-999人,https://www.zhipin.com/job_detail/1253b29a7a6616dc1XZ-2ti8E1I~.html,北京 朝阳区 望京3-5年本科,发布于07月16日
java高级工程师,24k-30k,阿里巴巴集团,互联网已上市10000人以上,https://www.zhipin.com/job_detail/a8b72d7ac2d2d4d91Xd53Nu4ElM~.html,北京 朝阳区 望京3-5年本科,发布于07月19日
Java,15k-30k,知乎,移动互联网D轮及以上1000-9999人,https://www.zhipin.com/job_detail/b743491c17f40f031nx809S9Elc~.html,北京 海淀区 学院路3-5年本科,发布于03月29日
高级java工程师,20k-40k,搜狐,移动互联网已上市10000人以上,https://www.zhipin.com/job_detail/57623ce7c045e5571XZ_39W1EFs~.html,北京 海淀区 中关村3-5年本科,发布于07月25日
高级java开发工程师,15k-30k,Tokenmania,互联网金融不需要融资100-499人,https://www.zhipin.com/job_detail/6b6231afd7bce7b81Xdy29-1E1Q~.html,北京 朝阳区 CBD3-5年本科,发布于07月29日
Java,15k-30k,爱奇艺,互联网D轮及以上1000-9999人,https://www.zhipin.com/job_detail/35a14d4f4fb0763e1Xd42t-4EVY~.html,北京 海淀区 中关村3-5年本科,发布于07月16日
JAVA高级工程师,15k-25k,好未来,互联网已上市10000人以上,https://www.zhipin.com/job_detail/a73992caf97c6baf1XBy2du-GFA~.html,北京 海淀区 中关村3-5年本科,发布于08月16日
Java开发工程师,30k-40k,滴滴出行,移动互联网D轮及以上10000人以上,https://www.zhipin.com/job_detail/6513fc72cd9b0ae41XZ809S_FlQ~.html,北京 海淀区 马连洼3-5年本科,发布于07月17日
Java,20k-40k,美团网,O2OD轮及以上10000人以上,https://www.zhipin.com/job_detail/958ad6c24bfff6321nV839i1FFQ~.html,北京 朝阳区 望京3-5年本科,发布于07月12日
Java开发工程师（中高级）,13k-26k,航天宏图,计算机软件A轮500-999人,https://www.zhipin.com/job_detail/6489b40ce7d88d1a1XBz39m-ElM~.html,北京 海淀区 西山3-5年本科,发布于10:05
阿里云-资深JAVA开发工程师-国际业务,20k-40k,阿里巴巴集团,互联网已上市10000人以上,https://www.zhipin.com/job_detail/a5737679813b82de1Xd-39-1FVQ~.html,北京 朝阳区 望京3-5年本科,发布于07月20日
JAVA开发工程师,18k-36k,泰康,互联网金融不需要融资10000人以上,https://www.zhipin.com/job_detail/fd93f52b3faaff0a1Xdz09W9E1o~.html,北京 昌平区 回龙观3-5年本科,发布于08月01日
Java开发工程师,18k-36k,Tokenmania,互联网金融不需要融资100-499人,https://www.zhipin.com/job_detail/762fcb34e3faefcb1XBz2Nq-F1c~.html,北京 朝阳区 建国路3-5年本科,发布于昨天
Java,15k-30k,知乎,移动互联网D轮及以上1000-9999人,https://www.zhipin.com/job_detail/7f0f21ac47fe100c1nN-29i8FVM~.html,北京 海淀区 学院路1-3年本科,发布于06月20日
java开发工程师,15k-25k,爱微知著/线上英语,在线教育天使轮500-999人,https://www.zhipin.com/job_detail/d621f43e506b90dd1XBz2926EFc~.html,北京 朝阳区 立水桥3-5年本科,发布于08月17日
Java,15k-30k,京东集团,电子商务不需要融资10000人以上,https://www.zhipin.com/job_detail/3c4b5fd4ace24c8d1XB62NW9FlI~.html,北京 朝阳区 大屯3-5年本科,发布于08月02日
高级java开发工程师,20k-40k,饿了么,O2OD轮及以上10000人以上,https://www.zhipin.com/job_detail/c5b63b6d0b6be61b1XZ82Nm6EFY~.html,北京 海淀区 万柳3-5年本科,发布于08月11日
Java 北京专场,20k-40k,阿里巴巴集团,互联网已上市10000人以上,https://www.zhipin.com/job_detail/0a3de368e366014d1XV52t68GFc~.html,北京 朝阳区 望京3-5年本科,发布于06月05日
JAVA高级开发工程师,20k-40k,瓜子二手车直卖网,分类信息C轮10000人以上,https://www.zhipin.com/job_detail/0d4ce5c56d6e294b1n1-2ti8F1Q~.html,北京 海淀区 上地3-5年本科,发布于08月17日
java工程师,15k-30k,车和家,汽车生产B轮1000-9999人,https://www.zhipin.com/job_detail/49752039b945dc411XBy09i8F1Q~.html,北京 朝阳区 大山子3-5年本科,发布于08月17日
Java开发工程师(000366),15k-30k,思享时代,互联网不需要融资100-499人,https://www.zhipin.com/job_detail/c93614eb28d81afb1XV42969E1o~.html,北京 朝阳区 安贞3-5年本科,发布于06月01日
中台java开发工程师,13k-26k,Suning,批发/零售已上市10000人以上,https://www.zhipin.com/job_detail/5ecf36ccf454aff81Xd839W9FlE~.html,北京 朝阳区 望京3-5年本科,发布于07月25日
Java,15k-25k,拍库,电子商务C轮100-499人,https://www.zhipin.com/job_detail/97fb7289e2b3b9581XV839q4ElE~.html,北京 朝阳区 呼家楼3-5年本科,发布于06月12日
java后端开发工程师,20k-25k,坚诺科技,数据服务0-20人,https://www.zhipin.com/job_detail/fee8e5adfebbf9a01XZ-0tq8F1Y~.html,北京 朝阳区 亚运村3-5年大专,发布于07月02日
高级java开发工程师,15k-30k,58金融,互联网金融已上市500-999人,https://www.zhipin.com/job_detail/f252a720049b4d4f1XZ-2d20EVI~.html,北京 朝阳区 大山子3-5年本科,发布于07月16日
资深JAVA开发,20k-40k,阿里巴巴集团,互联网已上市10000人以上,https://www.zhipin.com/job_detail/432080f1cce136a81XZ_29S7EVM~.html,北京 朝阳区 望京3-5年本科,发布于07月02日
JAVA全栈工程师,15k-25k,京东集团,电子商务不需要融资10000人以上,https://www.zhipin.com/job_detail/80c6c399967fb3361nN82t27FFo~.html,北京 大兴区 1-3年本科,发布于07月04日
Java工程师,15k-25k,极课大数据,互联网B轮100-499人,https://www.zhipin.com/job_detail/592ec77398e31e6c1nJ42Nm0ElE~.html,北京 朝阳区 三元桥3-5年本科,发布于08月10日
